-------------  TOF INSERTIONS  -------------
--- 0 READS          |          1 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          1 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          1 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 1 READS          |          3 WRITES 
--- 2 READS          |          6 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          7 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          7 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          7 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          7 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          7 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          7 WRITES 
--- 2 READS          |          7 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          7 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          7 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          7 WRITES 
--- 2 READS          |          4 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          9 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          9 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          9 WRITES 
--- 2 READS          |          9 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          9 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          9 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          9 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          5 WRITES 
--- 1 READS          |          5 WRITES 
--- 2 READS          |          9 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          8 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          5 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          5 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          5 WRITES 
--- 2 READS          |          11 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          11 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          5 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          11 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          9 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          5 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          11 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          9 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          6 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          13 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          13 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          11 WRITES 
--- 1 READS          |          7 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          5 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          7 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          13 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          5 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          13 WRITES 
--- 2 READS          |          3 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          11 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          1 WRITES 
--- 1 READS          |          7 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          13 WRITES 
--- 2 READS          |          11 WRITES 
--- 2 READS          |          3 WRITES 
--- 3 READS          |          1 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          9 WRITES 
--- 1 READS          |          8 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          15 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          15 WRITES 
--- 1 READS          |          9 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          13 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          15 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          11 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          13 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          7 WRITES 
--- 4 READS          |          1 WRITES 
--- 3 READS          |          11 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          15 WRITES 
--- 1 READS          |          9 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          11 WRITES 
--- 2 READS          |          13 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          13 WRITES 
--- 2 READS          |          13 WRITES 
--- 2 READS          |          13 WRITES 
--- 1 READS          |          9 WRITES 
--- 4 READS          |          1 WRITES 
--- 3 READS          |          15 WRITES 
--- 1 READS          |          9 WRITES 
--- 2 READS          |          13 WRITES 
--- 3 READS          |          15 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          13 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          11 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          13 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          6 WRITES 
--- 2 READS          |          5 WRITES 
--- 4 READS          |          11 WRITES 
--- 3 READS          |          13 WRITES 
--- 1 READS          |          9 WRITES 
--- 2 READS          |          15 WRITES 
--- 2 READS          |          15 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          7 WRITES 
--- 2 READS          |          15 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          17 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          15 WRITES 
--- 3 READS          |          13 WRITES 
--- 4 READS          |          11 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          17 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          15 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          15 WRITES 
--- 1 READS          |          9 WRITES 
--- 4 READS          |          1 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          17 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          17 WRITES 
--- 3 READS          |          3 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 1 READS          |          9 WRITES 
--- 4 READS          |          11 WRITES 
--- 2 READS          |          15 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          15 WRITES 
--- 4 READS          |          11 WRITES 
--- 2 READS          |          15 WRITES 
--- 3 READS          |          17 WRITES 
--- 4 READS          |          11 WRITES 
--- 4 READS          |          1 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          17 WRITES 
--- 3 READS          |          3 WRITES 
--- 4 READS          |          11 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          13 WRITES 
--- 3 READS          |          13 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          7 WRITES 
--- 1 READS          |          9 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          15 WRITES 
--- 4 READS          |          11 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          7 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          17 WRITES 
--- 1 READS          |          9 WRITES 
--- 3 READS          |          3 WRITES 
--- 4 READS          |          1 WRITES 
--- 3 READS          |          7 WRITES 
--- 3 READS          |          18 WRITES 
--- 4 READS          |          13 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          17 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          13 WRITES 
--- 3 READS          |          19 WRITES 
--- 2 READS          |          5 WRITES 
--- 4 READS          |          13 WRITES 
--- 1 READS          |          11 WRITES 
--- 4 READS          |          7 WRITES 
--- 4 READS          |          13 WRITES 
--- 2 READS          |          17 WRITES 
--- 2 READS          |          17 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          3 WRITES 
--- 4 READS          |          13 WRITES 
--- 4 READS          |          7 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          17 WRITES 
--- 3 READS          |          9 WRITES 
--- 4 READS          |          13 WRITES 
--- 2 READS          |          5 WRITES 
--- 1 READS          |          11 WRITES 
--- 4 READS          |          1 WRITES 
--- 3 READS          |          3 WRITES 
--- 2 READS          |          17 WRITES 
--- 2 READS          |          5 WRITES 
--- 4 READS          |          7 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          19 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          7 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          3 WRITES 
--- 4 READS          |          13 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          13 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          19 WRITES 
--- 1 READS          |          11 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          17 WRITES 
--- 3 READS          |          9 WRITES 
--- 4 READS          |          13 WRITES 
--- 2 READS          |          17 WRITES 
--- 2 READS          |          17 WRITES 
--- 3 READS          |          19 WRITES 
--- 4 READS          |          7 WRITES 
--- 4 READS          |          7 WRITES 
--- 3 READS          |          9 WRITES 
--- 4 READS          |          7 WRITES 
--- 3 READS          |          9 WRITES 
--- 4 READS          |          7 WRITES 
--- 2 READS          |          17 WRITES 
--- 4 READS          |          7 WRITES 
--- 2 READS          |          5 WRITES 
--- 4 READS          |          13 WRITES 
--- 3 READS          |          4 WRITES 
--- 4 READS          |          19 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          21 WRITES 
--- 4 READS          |          7 WRITES 
--- 2 READS          |          5 WRITES 
--- 4 READS          |          7 WRITES 
--- 4 READS          |          7 WRITES 
--- 1 READS          |          11 WRITES 
--- 4 READS          |          7 WRITES 
--- 4 READS          |          19 WRITES 
--- 4 READS          |          7 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          9 WRITES 
--- 4 READS          |          7 WRITES 
--- 1 READS          |          11 WRITES 
--- 2 READS          |          5 WRITES 
--- 4 READS          |          13 WRITES 
--- 4 READS          |          7 WRITES 
--- 4 READS          |          7 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          21 WRITES 
--- 2 READS          |          17 WRITES 
--- 4 READS          |          13 WRITES 
--- 4 READS          |          19 WRITES 
--- 3 READS          |          21 WRITES 
--- 2 READS          |          17 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          21 WRITES 
--- 4 READS          |          13 WRITES 
--- 3 READS          |          9 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          21 WRITES 
--- 4 READS          |          13 WRITES 
--- 2 READS          |          17 WRITES 
--- 4 READS          |          19 WRITES 
--- 2 READS          |          17 WRITES 
--- 3 READS          |          3 WRITES 
--- 4 READS          |          19 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          13 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          9 WRITES 
--- 3 READS          |          3 WRITES 
--- 1 READS          |          11 WRITES 
--- 3 READS          |          9 WRITES 
--- 4 READS          |          19 WRITES 
--- 3 READS          |          15 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          1 WRITES 
--- 1 READS          |          11 WRITES 
--- 4 READS          |          19 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          21 WRITES 
--- 2 READS          |          5 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          13 WRITES 
--- 3 READS          |          21 WRITES 
--- 3 READS          |          15 WRITES 
--- 4 READS          |          7 WRITES 
--- 4 READS          |          7 WRITES 
--- 3 READS          |          3 WRITES 
--- 3 READS          |          9 WRITES 
--- 1 READS          |          12 WRITES 
--- 2 READS          |          7 WRITES 
--- 2 READS          |          7 WRITES 
--- 3 READS          |          23 WRITES 
